epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
26,254.412,0.1806,0.92308,1,0.33556,0.000505,0.000505,0.000505
27,265.124,0.18821,0.91282,1,0.32016,0.0004852,0.0004852,0.0004852
28,274.446,0.21959,0.90256,1,0.36346,0.0004654,0.0004654,0.0004654
29,284.717,0.19614,0.89231,1,0.40367,0.0004456,0.0004456,0.0004456
30,293.095,0.16325,0.92308,1,0.40773,0.0004258,0.0004258,0.0004258
31,302.591,0.1793,0.88718,1,0.37489,0.000406,0.000406,0.000406
32,311.841,0.14037,0.91282,1,0.41907,0.0003862,0.0003862,0.0003862
33,321.011,0.15199,0.92308,1,0.38978,0.0003664,0.0003664,0.0003664
34,330.538,0.16075,0.91795,1,0.34456,0.0003466,0.0003466,0.0003466
35,340.985,0.12629,0.92821,1,0.3009,0.0003268,0.0003268,0.0003268
36,350.584,0.13409,0.91795,1,0.42685,0.000307,0.000307,0.000307
37,359.67,0.1459,0.93846,1,0.381,0.0002872,0.0002872,0.0002872
38,368.762,0.12227,0.92308,1,0.41556,0.0002674,0.0002674,0.0002674
39,379.581,0.12623,0.92821,1,0.37544,0.0002476,0.0002476,0.0002476
40,388.688,0.12894,0.93846,1,0.35727,0.0002278,0.0002278,0.0002278
41,435.766,0.11402,0.92308,1,0.36889,0.000208,0.000208,0.000208
42,446.665,0.12308,0.91282,1,0.3844,0.0001882,0.0001882,0.0001882
43,455.281,0.10674,0.92821,1,0.38486,0.0001684,0.0001684,0.0001684
44,465.313,0.11093,0.92308,1,0.38852,0.0001486,0.0001486,0.0001486
45,474.475,0.10914,0.91795,1,0.3504,0.0001288,0.0001288,0.0001288
46,484.876,0.11241,0.92308,1,0.37202,0.000109,0.000109,0.000109
47,495.022,0.10601,0.92308,1,0.3636,8.92e-05,8.92e-05,8.92e-05
